Model,BestCV_ROC_AUC,BestParams
Random Forest,0.8588,"{""n_estimators"": 200, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""max_depth"": 6, ""class_weight"": null}"
HistGradientBoosting,0.8654,"{""min_samples_leaf"": 40, ""max_leaf_nodes"": 15, ""max_iter"": 200, ""max_depth"": 4, ""learning_rate"": 0.03, ""l2_regularization"": 0.0}"
