Threshold,Precision,Recall,F1,Contacted,Profit
0.65,0.8183,0.4748,0.6009,633,60894.0
0.655,0.8232,0.4739,0.6015,628,60784.0
0.66,0.8264,0.4711,0.6001,622,60436.0
0.665,0.8287,0.461,0.5925,607,59146.0
0.67,0.8364,0.4546,0.5891,593,58334.0
0.675,0.8401,0.4528,0.5884,588,58104.0
0.68,0.8408,0.4455,0.5824,578,57164.0
0.685,0.843,0.4381,0.5766,567,56226.0
0.69,0.8431,0.4235,0.5638,548,54344.0
0.695,0.8442,0.417,0.5583,539,53522.0
0.7,0.8512,0.4143,0.5573,531,53178.0
0.705,0.8558,0.4079,0.5525,520,52360.0
0.71,0.8627,0.4033,0.5497,510,51780.0
0.715,0.8645,0.3978,0.5449,502,51076.0
0.72,0.8676,0.3905,0.5386,491,50138.0
0.725,0.8688,0.3822,0.5309,480,49080.0
0.73,0.8779,0.3758,0.5263,467,48266.0
0.735,0.8845,0.3721,0.5239,459,47802.0
0.74,0.8874,0.3685,0.5207,453,47334.0
0.745,0.8874,0.3611,0.5134,444,46392.0
0.75,0.885,0.3456,0.497,426,44388.0
0.755,0.8816,0.3346,0.485,414,42972.0
0.76,0.8936,0.3309,0.4829,404,42512.0
0.765,0.9023,0.33,0.4832,399,42402.0
0.77,0.9043,0.3291,0.4825,397,42286.0
0.775,0.9033,0.3254,0.4784,393,41814.0
0.78,0.9093,0.3217,0.4753,386,41348.0
0.785,0.9108,0.3089,0.4613,370,39700.0
0.79,0.9169,0.3034,0.4559,361,38998.0
0.795,0.9207,0.2979,0.4501,353,38294.0
0.8,0.9215,0.2906,0.4418,344,37352.0
0.805,0.9199,0.2841,0.4342,337,36526.0
0.81,0.9192,0.2814,0.4309,334,36172.0
0.815,0.9215,0.2796,0.429,331,35938.0
0.82,0.9266,0.2777,0.4274,327,35706.0
0.825,0.9286,0.2741,0.4232,322,35236.0
0.83,0.9279,0.2713,0.4199,319,34882.0
0.835,0.9304,0.2695,0.4179,316,34648.0
0.84,0.9443,0.264,0.4126,305,33950.0
0.845,0.9458,0.2557,0.4026,295,32890.0
0.85,0.9488,0.2548,0.4017,293,32774.0
0.855,0.9483,0.2521,0.3983,290,32420.0
0.86,0.9507,0.2475,0.3927,284,31832.0
0.865,0.9556,0.2365,0.3791,270,30420.0
0.87,0.9538,0.2273,0.3671,260,29240.0
0.875,0.9595,0.2172,0.3543,247,27946.0
0.88,0.9658,0.2071,0.3411,234,26652.0
0.885,0.9693,0.2026,0.3351,228,26064.0
0.89,0.9771,0.1952,0.3254,218,25124.0
0.895,0.9852,0.1833,0.3091,203,23594.0
0.9,0.9844,0.1732,0.2946,192,22296.0
0.905,0.9891,0.1659,0.2841,183,21354.0
0.91,0.9887,0.1604,0.276,177,20646.0
0.915,0.994,0.1522,0.2639,167,19586.0
0.92,0.9938,0.1457,0.2542,160,18760.0
0.925,0.9933,0.1357,0.2387,149,17462.0
0.93,0.993,0.1302,0.2301,143,16754.0
0.935,0.9922,0.1164,0.2084,128,14984.0
0.94,1.0,0.1072,0.1937,117,13806.0
0.945,1.0,0.0972,0.1771,106,12508.0
0.95,1.0,0.0852,0.1571,93,10974.0
